original_filename,new_filename,description
Screenshot from 2026-05-16 10-14-56.png,01_pubsub_publish_message_dialog.png,Formulario de Pub/Sub para publicar un mensaje JSON en el tópico.
Screenshot from 2026-05-16 10-33-44.png,02_iam_service_account_details.png,Detalle de cuenta de servicio/IAM usada para permisos del proyecto.
Screenshot from 2026-05-16 20-34-39.png,03_gcs_bucket_objects_overview.png,Vista de Cloud Storage/bucket con objetos del proyecto.
Screenshot from 2026-05-16 20-46-44.png,04_bigquery_create_transformed_table_sql.png,Consulta SQL para crear la tabla transformada de BigQuery.
Screenshot from 2026-05-16 20-54-01.png,05_bqml_model_evaluation_metrics.png,Pantalla de evaluación del modelo BigQuery ML con métricas agregadas.
Screenshot from 2026-05-16 21-21-34.png,06_bqml_predict_results.png,Resultados de inferencia con ML.PREDICT en BigQuery ML.
Screenshot from 2026-05-17 10-17-50.png,07_pubsub_topic_overview_subscription.png,Tópico Pub/Sub ecommerce-topic con suscripciones/exportaciones.
Screenshot from 2026-05-17 10-47-02.png,08_dataflow_job_graph_running.png,Grafo del job de Dataflow en ejecución.
Screenshot from 2026-05-17 10-49-54.png,09_dataflow_job_graph_details.png,Detalle del grafo de Dataflow y panel de información del job.
Screenshot from 2026-05-17 10-50-01.png,10_bigquery_streaming_count_zero.png,Consulta de BigQuery validando conteo/cero registros tras limpieza.
Screenshot from 2026-05-17 10-51-07.png,11_bigquery_manual_event_inserted.png,Consulta BigQuery mostrando registro manual publicado desde Pub/Sub.
Screenshot from 2026-05-17 10-54-39.png,12_pubsub_publish_json_payload.png,Pantalla de Pub/Sub para publicar payload JSON de prueba.
Screenshot from 2026-05-17 10-55-02.png,13_pubsub_topic_subscription_details.png,Detalle del tópico/suscripción Pub/Sub para el flujo streaming.
Screenshot from 2026-05-17 10-55-15.png,14_dataflow_streaming_job_processing.png,Dataflow procesando mensajes desde Pub/Sub hacia BigQuery.
Screenshot from 2026-05-17 10-55-45.png,15_python_streaming_script_20_events.png,Notebook con script Python productor publicando eventos de streaming.
Screenshot from 2026-05-17 10-56-47.png,16_dataflow_streaming_counters.png,Dataflow con contadores personalizados y datos procesados.
Screenshot from 2026-05-17 10-57-55.png,17_bigquery_count_after_streaming.png,Consulta BigQuery de conteo tras publicación de eventos.
Screenshot from 2026-05-17 11-00-03.png,18_bigquery_streaming_rows_21_records.png,BigQuery mostrando filas insertadas por el flujo streaming.
Screenshot from 2026-05-17 11-06-37.png,19_python_publish_20_events_output.png,Salida del notebook confirmando publicación de 20 eventos.
Screenshot from 2026-05-17 11-07-28.png,20_bigquery_streaming_count_validation.png,Validación SQL de conteo en tabla streaming.
Screenshot from 2026-05-17 11-08-37.png,21_bigquery_streaming_table_preview.png,Vista/consulta de tabla streaming con registros insertados.
Screenshot from 2026-05-17 11-37-33.png,22_python_publish_10000_events_output.png,"Salida del notebook confirmando publicación de 10,000 eventos."
Screenshot from 2026-05-17 11-37-57.png,23_bigquery_count_10021_records.png,"BigQuery mostrando conteo total de 10,021 registros."
Screenshot from 2026-05-17 11-45-12.png,24_looker_streaming_dashboard.png,"Dashboard de Looker Studio con KPIs, tabla, barras y serie temporal."
Screenshot from 2026-05-17 11-49-59.png,25_bqml_predict_streaming_results.png,Consulta ML.PREDICT sobre datos streaming con predicciones del modelo.
Screenshot from 2026-05-17 12-09-46.png,26_gcs_buckets_overview.png,"Cloud Storage mostrando buckets del proyecto, incluyendo data lake."
Screenshot from 2026-05-17 12-22-29.png,27_bigquery_create_transformed_table_query.png,SQL para tabla streaming_sales_transformed con campos transformados.
Screenshot from 2026-05-17 12-22-36.png,28_bigquery_create_transformed_table_executed.png,Ejecución/validación de creación de tabla transformada.
Screenshot from 2026-05-17 12-23-31.png,29_bigquery_transformed_table_rows.png,"Tabla transformada con campos TotalAmount, Source e IsHighValue."
Screenshot from 2026-05-17 12-24-06.png,30_dataflow_udf_transform_job_running.png,Job de Dataflow con UDF de transformación en ejecución.
Screenshot from 2026-05-17 12-25-08.png,31_gcs_udf_file_uploaded.png,Archivo transform_ecommerce.js subido a Cloud Storage.
Screenshot from 2026-05-17 12-31-24.png,32_bqml_model_registered_vertex.png,Modelo BigQuery ML registrado en Vertex AI Model Registry.
Screenshot from 2026-05-17 13-52-29.png,33_vertex_ai_endpoint_prediction_output.png,Salida formateada de inferencia Python contra el endpoint de Vertex AI.
Screenshot from 2026-05-17 13-55-59.png,34_finops_dataflow_jobs_cancelled.png,Lista de trabajos Dataflow cancelados/detenidos para limpieza FinOps.
Screenshot from 2026-05-17 13-56-05.png,35_vertex_model_implemented_evidence.png,Modelo Vertex AI return-prediction-bqml implementado en endpoint.
Screenshot from 2026-05-17 13-57-30.png,36_vertex_endpoint_active_model_1.png,Endpoint Vertex AI activo con un modelo implementado.
Screenshot from 2026-05-17 13-57-35.png,37_vertex_endpoint_undeployed_model_0.png,Endpoint Vertex AI con cero modelos implementados tras limpieza.
Screenshot from 2026-05-17 13-58-19.png,38_finops_vertex_endpoint_cleaned.png,Evidencia final de endpoint sin modelo implementado para FinOps.
